ID,이름,대사,Sprite Name,Slide,비고
56,예주희,제가 마저 누를게요.,Ye,,
57,,최진성의 팔이 닿지 않는 버튼을 예주희가 눌렀다.,,,
,,철컥-,,,
,,고요속에서 장치가 작동하는 소리가 들렸다.,,,
58,이시우,어떤 장치가 작동한 것 같습니다. 다시 문을 열어볼게요.,Siu,,
59,,끼릭-,,,
,,문고리가 돌아갔다.,,,
60,이시우,허우성 씨. 들어갈까요?,Siu,,
61,허우성,네! 얼른 가요!,Heo,,
62,,우리는 다음 방을 향해 이동했다.,,,
63,,,,,문 클릭 - 버튼 장착 끝
64,,나무 판자에 가려져 있던 기계 장치를 조사했다.,,,장치 일반 클릭
65,최진성,무언가를.. 꽂아야 하는 것 같은데.,Chae,,
66,허우성,꽂는다구요? 이 방에서 꽂을 만한 게 있었나?,Heo,,
67,,장치에 꽂을만한 적당한 무언가가 이 방에 있던 것 같은데...,,,장치 일반 클릭 끝
68,,,,,
69,,장치에 빨간색 버튼이 꽂혀 있다.,,,장치 레드버튼 꽂힌 거 조사
70,,,,,
71,,장치에 파란색 버튼이 꽂혀 있다.,,,장치 블루버튼 꽂힌 거 조사
72,,,,,
73,,두 개의 장치에 각각 색깔에 맞는 버튼을 꽂아 넣었다.,,,장치 버튼둘다 꽂힌 거 조사
74,이시우,일단... 조건은 맞춘 것 같습니다.,Siu,,
75,허우성,엇! 그럼 문을 열어볼까요?,Heo,,
,,이제 열어줄 수도 있지 않을까요?!,,,
76,예주희,빨리.. 빨리 해봐요...,Ye,,
77,,예주희의 상태를 위해서라도 서둘러야겠다.,,,장치 버튼둘다 꽂힌 거 조사 끝
78,,,,,
79,,빨간색 버튼을 집어 들었다.,,,장치 - 레드버튼 사용
80,이시우,여기에 빨간색 버튼을 사용하는 게 맞는 것 같습니다.,Siu,,
81,,나무 잔해를 치워내고 조심스레 빨간색 버튼을 꽂아 넣었다.,,,
,,철컥-,,,
,,장치에 빨간 버튼이 완벽하게 결합되었다.,,,
82,최진성,다행이군.,Chae,,장치 - 레드버튼 사용 끝
83,,,,,
84,,파란색 버튼을 집어 들었다.,,,
85,이시우,... 꽂아 볼게요.,Siu,,
86,,장치의 파란색 버튼을 천천히 꽂아 넣었다.,,,
,,철컥-,,,
,,장치와 파란색 버튼이 소리를 내며 완벽하게 맞물렸다.,,,
87,허우성,와! 정답인가봐요!,Heo,,장치 - 블루버튼 사용 끝
88,,,,,
89,,응? 이게 뭐지?,,,원 표식 조사
,,벽에 색깔 원이 그려져 있다.,,,
90,허우성,어랏? 이게 뭘까요? 원이 그려져 있어요!,Heo,,
91,최진성,....,Chae,,
92,예주희,힌트... 같은 거겠죠. 뜬금없이 그려둘 리는 없을 것 같은데.,Ye,,
93,이시우,제 생각도 같아요. 뭔가 힌트를 주려는 것 같은데....,Siu,,
94,,색이 칠해진 동그라미라... 무슨 의미일까?,,,원 표식 조사 끝
95,,,,,
96,,바닥에 낡은 안전모가 떨어져 있다.,,,안전모 조사
97,허우성,안전모...네요? 으윽! 먼지 봐!,Heo,,
98,최진성,... 너무 오래되어 활용하기도 어렵겠어.,Chae,,
99,,너무 낡아빠져 활용할 수 없을 것 같다.,,,
100,이시우,일단 내버려 두죠.,Siu,,안전모 조사 끝
101,,,,,
102,,쓰레기 더미가 쌓여 있다.,,,쓰레기 더미 조사
103,최진성,방 한 가운데 쓰레기더미라니... 뭘 말하고 싶은거지?,Chae,,
104,,쓰레기 더미를 대충 뒤적여 보았다.,,,
105,이시우,아무래도... 건축 관련 자재들인 것 같아요.,Siu,,
,,예전에 잠깐 아르바이트할 때 본 것들이네요.,,,
,,딱히... 쓸만해 보이는 건 없는 것 같습니다.,,,
106,예주희,으으.. 으으.....,Ye,,
107,,예주희의 상태가 점점 나빠져 간다.,,,
108,,뭔가 짚이는 거라도 있는 걸까?,,,쓰레기 더미 조사 끝
109,,,,,
110,,바닥에 신문지가 떨어져 있다.,,,신문지 조사
111,최진성,여기' 신문지가 한 장 떨어져 있네요.,Chae,,
112,,단 한 장의 신문지라...,,,
,,이것도 무언가를 암시하는건가.,,,
113,이시우,어디 보자... 내용이...,Siu,,
114,,-한성건설' 또 다시 파문...  경영진 교체 시급-,,,
115,이시우,건설사...에 대한 기사네요.,Siu,,
,,이게 뭐 어쨌다는거지...,,,
116,허우성,이 건물이 그 건설사가 지은 걸까요?,Heo,,
117,최진성,그런 단순한 발상은 어떻게 가능한거죠?,Chae,,
,,생각을 좀 하고 말씀하시죠.,,,
118,허우성,앗.. 넵... 죄송해요... 흑흑...,Heo,,
119,,허우성이 장난스레 우는 시늉을 한다.,,,
120,이시우,건설사라...,Siu,,
121,,무슨 인과관계가 있는 걸까?,,,
,,아무리 생각해봐도 떠오르지 않는다.,,,
122,예주희,....,Ye,,
123,,예주희는 무언가에 홀린 듯 눈에 초점이 풀려 있다.,,,
,,무언가 알고 있는 거라도 있는 걸까?,,,
124,,... 일단 예주희의 상태가 나아질 때까지 기다렸다가 물어보는 편이 나을 것 같다.,,,신문지 조사 끝
125,,,,,
126,,방 구석에 드럼통과 시멘트 포대가 놓여 있다.,,,드럼 시멘트
,,생각해보아도 이 방에서의 쓰임새는 찾을 수 없었다.,,,
,,이것도 메시지의 일부인가?,,,
,,전하고 싶은 메시지가 무엇일까.,,,
127,,머리가 지끈거리기 시작한다.,,,드럼 시멘트 끝
128,,,,,
129,,아이템 획득 - 레드 버튼,,,
130,,,,,
131,,아이템 획득 - 블루 버튼,,,
132,,,,,
