ID,이름,대사,Sprite Name,Ect
25,,흔들어보자 무거운 물체가 있는 느낌을 받았다,,
26,예주희,"뭘 보고있어요? 어서 뜯어나봐요""",,
27,,가만히 지켜보던 예주희씨가 답답하다는듯 말하였다,,
28,,상자 획득,,
29,,테이프를 뜯어 내용물을 열어본다,,
30,이시우,"무슨 캔이 하나 있네요""",Siu,
31,최진성,"뭐야 라이터 기름이잖아""",Chae,
32,,본적있는 물건인듯 최진성씨가 말했다,,
33,이시우,"사용해보신적있으신가요?""",Siu,
34,최진성,"그래' 지포라이터에는 가스가 아니라 기름으로 채워야해""",Chae,
35,,다른 내용물이 있나 상자를 더 둘러보았지만 아무것도 없었다,,
36,,바닥에서 빛을 반사하는 작은 물체가 눈에 들어왔다,,
,,손을 뻗어 주워보니 말끔한 외형의 지포라이터였다,,
37,최진성,"라이터인가' 이리줘봐""",Chae,
38,,최진성씨가 빼앗듯 가져갔다,,
39,최진성,"나참' 담배도 뺏겼나""",Chae,
40,,불평하며 라이터를 켜보지만 들어오지도 않는 모양이다,,
41,최진성,"풀리는 일이 하나도없군""",Chae,
42,,우연히 있는것이라고 생각하기엔 너무 부자연스럽다는 생각들었다,,
43,이시우,최진성씨' 라이터 기름을 다루어보신적 있다고하셨죠?,Siu,
44,최진성,"흡연자니까' 라이터도 1회용보다는 자신의 것을 하나 가지고다니는게 좋거든""",Chae,
45,이시우,"그럼 방금 주운 지포라이터에 기름을 채우실수도있나요?""",Siu,
46,최진성,"이리 줘봐 해보지""",Chae,
47,,최진성씨가 달라는듯 손을 내밀었다,,
48,이시우,상자에서 얻었던 라이터 기름을 최진성씨에게 넘겨줬다,Siu,
49,최진성,"상태가 꽤 좋잖아? 기름도 좋은거고""",Chae,
50,,조금 만지작 하시더니 다되었는지 라이터를 조금 흔든다,,
51,,팅' 철컥,,
,,다시 작동하는것을 확인하자 도로 라이터를 닫았다,,
52,최진성,"이제 됐어' 기름이 퍼지는데 시간이 좀 걸리니 조금만 있으면 잘 작동할꺼야""",Chae,
53,,최진성씨가 라이터를 던져주었다.,,
54,,라이터 획득,,
55,,라이터를 가지고 다시 문앞으로 왔다,,
56,이시우,"이거 녹일 수 있지않을까요?""",Siu,
57,,파라핀이 맞는지는 모르겠지만 이렇게 녹았다 굳은 형태라면 도로 녹일수도 있을것이다,,
58,최진성,"해봐 그럼' 라이터 기름도 여분은 있으니""",Chae,
59,,칙 칙,,
,,딱딱한 마찰음 끝에 올라온 작은 불꽃을 가까이 가져갔다,,
60,,........,,
61,,조금씩 윤기가 돌기 시작하더니 흘러내리기 시작한다,,
62,허우성,"아...! 녹네요! 조금만 더 녹이면 누를 수 있겠어요""",Heo,
63,,안쪽까지 녹을 수 있도록 더 가까이 가져갔다,,
64,이시우,"이정도면 충분히 벗겨낸것 같네요""",Siu,
65,예주희,"이제....비밀번호를 찾아봐야겠네요""",,
66,이시우,비밀번호.....숫자....? 이 방에서 숫자를 본적이 있나,Siu,
67,,문득 생각이 들었다,,
68,이시우,"한번 해보겠습니다""",Siu,
69,,삐빅하는소리가 들리며 키패드가 위로 올라갔다,,
70,이시우,방에서 본 숫자라고는 성경 구절뿐이라 모서리가 가르키던 구절 번호를 넣어봤는데,Siu,
,,"맞네요""",,
71,최진성,"뭐야 그럼....보란듯이 우리한테 던지는 말이였다는거잖아.....재수없게 어떤 자식이""",Chae,
72,허우성,"가두어놓고 나갈방법을 숨겨두다니....저희에게 무얼 원하는걸까요...""",Heo,
73,예주희,알바에요? 이제 나갈수있으니 뭐든 상관없겠죠,,
,,"나가서 우릴 가둔사람을찾으면 바로 고소해버릴거에요""",,
74,,다들 한마디씩 하는사이 정말 나갈수있는걸까 라는 걱정이 들었다,,
,,만약 이 문 너머에....다른 방이 있다면? 출구가 아니라면?,,
,,기대보다 앞서는 걱정을 억누르며 열린 키패드 안쪽 손잡이에 손을 가져간다,,
75,이시우,"열겠습니다""",Siu,
76,,답은 문 너머에 있겠지,,
,,차가운 문 손잡이를 돌리며 당기자,,
,,꺼림칙한 소리와 함께 너머의 풍경을 마주하였다,,
